OID_,id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,response_time_num,type_num,license_tf,host_location_tf,host_verifications_num,amenities_num,host_duration,pop_past,pop_future,popularity,dist_attractions,dist_city,airbnb_count,average_price,poi_count,transport_count,hotel_count
2032,34976195.000000000000000,85076667,100,100.000000000000000,t,t,t,47.660580000000003,-122.341719999999995,2,2.000000000000000,1.000000000000000,2.000000000000000,70.000000000000000,30.000000000000000,365.000000000000000,4.850000000000000,4.770000000000000,4.770000000000000,5.000000000000000,4.920000000000000,4.850000000000000,4.770000000000000,t,10,5,2,f,t,2,18,2332,-1.010000000000000,-2.090000000000000,-3.100000000000000,1322.267538154701015,6369.953174872587624,52,195.461538461538453,105,14.000000000000000,0
2033,34976744.000000000000000,212826084,99,99.000000000000000,f,t,t,47.660850000000003,-122.344909999999999,4,2.500000000000000,2.000000000000000,2.000000000000000,296.000000000000000,30.000000000000000,141.599999999999994,4.760000000000000,4.940000000000000,4.710000000000000,4.880000000000000,4.410000000000000,5.000000000000000,4.760000000000000,t,1,5,3,t,f,3,34,1561,-0.960000000000000,-2.090000000000000,-3.050000000000000,1169.271790242410589,6436.892508391213596,75,205.626666666666665,67,16.000000000000000,0
2034,34977600.000000000000000,19403115,100,99.000000000000000,f,t,t,47.638599999999997,-122.367900000000006,4,1.000000000000000,1.000000000000000,2.000000000000000,168.000000000000000,30.000000000000000,1125.000000000000000,4.800000000000000,4.840000000000000,4.850000000000000,4.910000000000000,4.890000000000000,4.960000000000000,4.610000000000000,f,14,5,3,t,t,3,33,3050,0.430000000000000,1.110000000000000,1.540000000000000,2653.341810003975752,4799.248129388673078,52,303.076923076923094,23,18.000000000000000,0
2035,34978518.000000000000000,263536057,100,100.000000000000000,f,t,t,47.628070000000001,-122.369489999999999,6,2.000000000000000,2.000000000000000,3.000000000000000,230.000000000000000,1.000000000000000,1125.000000000000000,4.670000000000000,4.640000000000000,4.660000000000000,4.920000000000000,4.940000000000000,4.830000000000000,4.620000000000000,t,1,5,3,t,t,2,62,1297,0.580000000000000,-1.560000000000000,-0.980000000000000,2487.208441868769114,4006.000621307534402,18,354.166666666666686,35,15.000000000000000,0
2036,34980478.000000000000000,263359462,100,100.000000000000000,f,t,t,47.540179999999999,-122.287679999999995,2,1.000000000000000,1.000000000000000,1.000000000000000,65.000000000000000,1.000000000000000,1125.000000000000000,4.680000000000000,4.780000000000000,4.830000000000000,4.820000000000000,4.740000000000000,4.630000000000000,4.670000000000000,t,4,5,2,t,f,2,29,1297,-0.300000000000000,-1.660000000000000,-1.960000000000000,2457.389851830167117,7762.227513908705987,16,111.187500000000000,52,6.000000000000000,0
2037,34981119.000000000000000,263359462,100,100.000000000000000,f,t,t,47.542020000000001,-122.285830000000004,2,1.000000000000000,1.000000000000000,1.000000000000000,72.000000000000000,1.000000000000000,1125.000000000000000,4.820000000000000,4.900000000000000,4.950000000000000,4.870000000000000,4.870000000000000,4.820000000000000,4.900000000000000,t,4,5,2,t,f,2,29,1297,-0.700000000000000,-1.770000000000000,-2.470000000000000,2702.191516048216727,7635.786221808686605,23,138.130434782608688,39,8.000000000000000,0
2038,34982508.000000000000000,85076667,100,100.000000000000000,t,t,t,47.660429999999998,-122.341570000000004,3,3.000000000000000,1.000000000000000,2.000000000000000,60.000000000000000,30.000000000000000,365.000000000000000,4.800000000000000,4.800000000000000,4.480000000000000,4.960000000000000,4.880000000000000,4.920000000000000,4.720000000000000,t,10,5,2,f,t,2,59,2332,-0.870000000000000,1.110000000000000,0.240000000000000,1342.378274900151155,6351.889941455726330,52,195.461538461538453,105,14.000000000000000,0
2039,34983149.000000000000000,68756306,100,100.000000000000000,t,t,t,47.607230000000001,-122.297550000000001,2,1.000000000000000,0.000000000000000,1.000000000000000,113.000000000000000,2.000000000000000,1125.000000000000000,4.940000000000000,4.940000000000000,4.950000000000000,4.930000000000000,4.940000000000000,4.890000000000000,4.880000000000000,t,2,5,3,t,t,2,29,2420,1.920000000000000,0.680000000000000,2.600000000000000,2523.299188061026143,2473.675849797632054,41,152.463414634146346,23,18.000000000000000,0
2040,35002263.000000000000000,20822998,100,98.000000000000000,t,t,t,47.654310000000002,-122.397660000000002,2,1.000000000000000,1.000000000000000,1.000000000000000,107.000000000000000,3.000000000000000,30.000000000000000,4.980000000000000,4.990000000000000,4.990000000000000,5.000000000000000,5.000000000000000,4.900000000000000,4.970000000000000,f,1,5,2,t,t,2,31,3021,0.460000000000000,0.680000000000000,1.140000000000000,1151.038656102873574,7570.341357269116997,8,156.875000000000000,2,19.000000000000000,0
2041,35007118.000000000000000,20272449,100,50.000000000000000,f,t,t,47.508690000000001,-122.386330000000001,4,1.000000000000000,1.000000000000000,2.000000000000000,149.000000000000000,30.000000000000000,1125.000000000000000,5.000000000000000,4.710000000000000,5.000000000000000,5.000000000000000,4.710000000000000,5.000000000000000,4.710000000000000,f,1,3,3,t,t,2,21,3034,-0.990000000000000,-1.980000000000000,-2.970000000000000,6469.499587842361507,11394.283460284630564,6,171.333333333333343,0,6.000000000000000,0
2042,35042947.000000000000000,51073671,100,100.000000000000000,f,t,t,47.556550000000001,-122.361959999999996,2,1.000000000000000,1.000000000000000,1.000000000000000,68.000000000000000,1.000000000000000,1125.000000000000000,4.840000000000000,4.900000000000000,4.900000000000000,4.940000000000000,4.890000000000000,4.810000000000000,4.870000000000000,t,1,5,2,t,t,2,42,2555,0.270000000000000,0.040000000000000,0.310000000000000,1764.171864179543945,5778.717102133899971,16,140.750000000000000,1,12.000000000000000,0
2043,35063529.000000000000000,19021868,0,100.000000000000000,f,t,t,47.625219999999999,-122.354609999999994,4,1.000000000000000,2.000000000000000,2.000000000000000,195.000000000000000,30.000000000000000,1125.000000000000000,4.800000000000000,5.000000000000000,4.600000000000000,5.000000000000000,5.000000000000000,5.000000000000000,4.600000000000000,t,1,1,3,f,t,2,27,3056,-1.110000000000000,-1.770000000000000,-2.880000000000000,1398.942133677773427,3010.087559146652438,53,210.396226415094333,176,16.000000000000000,0
2044,35125287.000000000000000,145720154,100,100.000000000000000,t,f,f,47.539580000000001,-122.276570000000007,2,1.000000000000000,1.000000000000000,1.000000000000000,74.000000000000000,1.000000000000000,1125.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,5.000000000000000,4.780000000000000,4.890000000000000,t,12,5,2,t,f,2,47,1945,-1.030000000000000,1.110000000000000,0.080000000000000,2744.384880989051908,8199.451902486760446,38,150.815789473684220,37,10.000000000000000,0
2045,35131800.000000000000000,11886925,100,100.000000000000000,t,t,t,47.554600000000001,-122.385249999999999,2,1.000000000000000,1.000000000000000,1.000000000000000,140.000000000000000,2.000000000000000,1125.000000000000000,5.000000000000000,5.000000000000000,4.980000000000000,5.000000000000000,5.000000000000000,4.930000000000000,4.950000000000000,t,1,5,3,t,t,2,34,3231,-0.340000000000000,1.110000000000000,0.770000000000000,3526.719283803594408,6870.165535077359891,25,169.120000000000005,11,6.000000000000000,0
2046,35162444.000000000000000,862329,100,100.000000000000000,f,t,t,47.544649999999997,-122.284589999999994,4,1.000000000000000,2.000000000000000,2.000000000000000,69.000000000000000,30.000000000000000,120.000000000000000,4.670000000000000,5.000000000000000,4.000000000000000,5.000000000000000,5.000000000000000,4.670000000000000,4.330000000000000,f,1,5,2,f,t,3,62,4156,-1.130000000000000,-2.090000000000000,-3.220000000000000,3006.112816132251282,7416.249414376029563,24,146.541666666666657,19,6.000000000000000,0
2047,35162967.000000000000000,264641633,98,98.000000000000000,t,t,t,47.588050000000003,-122.286739999999995,10,2.000000000000000,4.000000000000000,5.000000000000000,470.000000000000000,4.500000000000000,29.000000000000000,4.960000000000000,4.960000000000000,4.900000000000000,4.960000000000000,4.980000000000000,4.980000000000000,4.860000000000000,f,3,5,3,t,f,2,66,1291,-0.580000000000000,-1.660000000000000,-2.240000000000000,3732.540614963373628,3700.547357949862544,8,189.000000000000000,33,7.000000000000000,0
2048,35188070.000000000000000,25068452,100,100.000000000000000,t,t,t,47.685189999999999,-122.340159999999997,6,1.000000000000000,3.000000000000000,3.000000000000000,400.000000000000000,3.000000000000000,1125.000000000000000,5.000000000000000,5.000000000000000,4.970000000000000,4.970000000000000,5.000000000000000,5.000000000000000,4.870000000000000,t,1,5,3,t,t,2,69,2910,-0.790000000000000,1.110000000000000,0.320000000000000,1898.543844205128607,9077.412742456448541,30,202.733333333333320,89,11.000000000000000,0
